Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-02-09,94.29,95.94,93.93,94.99,43886551,0,1,94.29,95.94,93.93,94.99,43886551
2016-02-08,93.13,95.7,93.04,95.01,53689273,0,1,93.13,95.7,93.04,95.01,53689273
2016-02-05,96.52,96.92,93.69,94.02,45110654,0,1,96.52,96.92,93.69,94.02,45110654
2016-02-04,95.86,97.33,95.19,96.6,45836051,0.52,1,95.86,97.33,95.19,96.6,45836051
2016-02-03,95,96.84,94.08,96.35,44913700,0,1,94.4913509061,96.3214991763,93.576276771,95.8341227348,44913700
2016-02-02,95.42,96.04,94.28,94.48,36180980,0,1,94.9091021417,95.5257825371,93.7752059308,93.9741350906,36180980
2016-02-01,96.47,96.71,95.4,96.43,39883758,0,1,95.9534802306,96.1921952224,94.8892092257,95.9136943987,39883758
2016-01-29,94.79,97.34,94.35,97.085,63332032,0,1,94.2824752883,96.8188220758,93.8448311367,96.565187397,63332032
2016-01-28,93.79,94.52,92.39,94.09,55261406,0,1,93.2878294893,94.0139209226,91.8953253707,93.586223229,55261406
2016-01-27,96.04,96.6289,93.34,93.441,131531406,0,1,95.5257825371,96.1115294481,92.8402388797,92.9406981054,131531406
2016-01-26,99.93,100.88,98.07,99.99,62573303,0,1,99.3949546952,100.3398682043,97.5449135091,99.4546334432,62573303
2016-01-25,101.52,101.53,99.21,99.41,50305584,0,1,100.9764415157,100.9863879736,98.6788097199,98.8777388797,50305584
2016-01-22,98.63,101.46,98.37,101.42,64916723,0,1,98.1019151565,100.9167627677,97.8433072488,100.8769769358,64916723
2016-01-21,97.06,97.88,94.94,96.3,51089025,0,1,96.5403212521,97.3559308072,94.4316721582,95.7843904448,51089025
2016-01-20,95.1,98.1897,93.42,96.826,71542714,0,1,94.590815486,97.6639726112,92.9198105437,96.3075741351,71542714
2016-01-19,98.41,98.65,95.5,96.66,49290627,0,1,97.8830930807,98.1218080725,94.9886738056,96.1424629325,49290627
2016-01-15,96.2,97.71,95.36,97.02,74625424,0,1,95.6849258649,97.1868410214,94.8494233937,96.5005354201,74625424
2016-01-14,97.96,100.48,95.74,99.52,62104485,0,1,97.4355024712,99.9420098847,95.2273887974,98.9871499176,62104485
2016-01-13,100.32,101.19,97.3,97.371,61546177,0,1,99.7828665568,100.648208402,96.7790362438,96.8496560956,61546177
2016-01-12,100.55,100.69,98.8399,99.96,48244763,0,1,100.0116350906,100.1508855025,98.3106913097,99.4247940692,48244763
2016-01-11,98.97,99.06,97.34,98.53,49204585,0,1,98.4400947282,98.5296128501,96.8188220758,98.0024505766,49204585
2016-01-08,98.55,99.11,96.76,96.96,70176616,0,1,98.0223434926,98.57934514,96.2419275124,96.4408566722,70176616
2016-01-07,98.68,100.13,96.43,96.45,81094428,0,1,98.1516474465,99.593883855,95.9136943987,95.9335873147,81094428
2016-01-06,100.56,102.37,99.87,100.7,68057469,0,1,100.0215815486,101.8218904448,99.3352759473,100.1608319605,68057469
2016-01-05,105.75,105.85,102.41,102.714,55063623,0,1,105.1837932455,105.2832578254,101.8616762768,102.1640485997,55063623
2016-01-04,102.61,105.368,102,105.235,61975675,0,1,102.0606054366,104.8038385503,101.4538714992,104.671550659,61975675
2015-12-31,107.01,107.03,104.82,105.26,40123438,0,1,106.4370469522,106.4569398682,104.2587726524,104.696416804,40123438
2015-12-30,108.58,108.7,107.18,107.32,24265772,0,1,107.9986408567,108.1179983526,106.6061367381,106.7453871499,24265772
2015-12-29,106.96,109.43,106.86,108.74,30598887,0,1,106.3873146623,108.8440897858,106.2878500824,108.1577841845,30598887
2015-12-28,107.59,107.69,106.1807,106.82,26502466,0,1,107.0139415157,107.1134060956,105.6121871911,106.2480642504,26502466
2015-12-24,109,109,107.95,108.03,13595745,0,1,108.4163920923,108.4163920923,107.3720140033,107.4515856672,13595745
2015-12-23,107.27,108.85,107.2,108.62,32296587,0,1,106.69565486,108.2671952224,106.626029654,108.0384266886,32296587
2015-12-22,107.4,107.72,106.451,107.23,31316821,0,1,106.8249588138,107.1432454695,105.8810399506,106.655869028,31316821
2015-12-21,107.28,107.37,105.57,107.33,43501991,0,1,106.705601318,106.7951194399,105.0047570017,106.7553336079,43501991
2015-12-18,108.91,109.52,105.81,105.9,90983104,0,1,108.3268739704,108.9336079077,105.2434719934,105.3329901153,90983104
2015-12-17,112.02,112.25,108.98,108.98,44233229,0,1,111.4202224053,111.648990939,108.3964991763,108.3964991763,44233229
2015-12-16,111.07,111.99,108.8,111.338,55553267,0,1,110.4753088962,111.3903830313,108.2174629325,110.7418739704,55553267
2015-12-15,111.94,112.8,110.35,110.49,52592533,0,1,111.3406507414,112.1960461285,109.7591639209,109.8984143328,52592533
2015-12-14,112.18,112.68,109.79,112.48,63833762,0,1,111.5793657331,112.0766886326,109.2021622735,111.8777594728,63833762
2015-12-11,115.19,115.39,112.851,113.18,46396531,0,1,114.5732495881,114.7721787479,112.2467730643,112.5740115321,46396531
2015-12-10,116.04,116.94,115.51,116.17,28858993,0,1,115.4186985173,116.3138797364,114.8915362438,115.5480024712,28858993
2015-12-09,117.64,117.69,115.08,115.62,44745213,0,1,117.0101317957,117.0598640857,114.4638385503,115.0009472817,44745213
2015-12-08,117.52,118.6,116.86,118.23,34086875,0,1,116.8907742998,117.9649917628,116.2343080725,117.5969728171,34086875
2015-12-07,118.98,119.86,117.81,118.28,31801965,0,1,118.3429571664,119.2182454695,117.1792215816,117.6467051071,31801965
2015-12-04,115.29,119.25,115.11,119.03,56351301,0,1,114.672714168,118.6115115321,114.4936779242,118.3926894563,56351301
2015-12-03,116.55,116.79,114.22,115.17,40935107,0,1,115.9259678748,116.1646828666,113.6084431631,114.5533566722,40935107
2015-12-02,117.05,118.11,116.08,116.28,32793916,0,1,116.4232907743,117.4776153213,115.4584843493,115.6574135091,32793916
2015-12-01,118.75,118.81,116.86,117.34,34501246,0,1,118.1141886326,118.1738673806,116.2343080725,116.711738056,34501246
2015-11-30,117.99,119.41,117.75,118.35,37074611,0,1,117.3582578254,118.77065486,117.1195428336,117.716330313,37074611
2015-11-27,118.29,118.41,117.6,117.81,13038955,0,1,117.6566515651,117.776009061,116.9703459638,117.1792215816,13038955
2015-11-25,119.21,119.23,117.92,118.03,21258090,0,1,118.5717257002,118.5916186161,117.2886326194,117.3980436573,21258090
2015-11-24,117.33,119.35,117.12,118.88,42342435,0,1,116.701791598,118.710976112,116.4929159802,118.2434925865,42342435
2015-11-23,119.27,119.73,117.34,117.76,31788032,0,1,118.6314044481,119.0889415157,116.711738056,117.1294892916,31788032
2015-11-20,119.2,119.92,118.85,119.3,33780538,0,1,118.5617792422,119.2779242175,118.2136532125,118.6612438221,33780538
2015-11-19,117.64,119.75,116.76,118.78,42828053,0,1,117.0101317957,119.1088344316,116.1348434926,118.1440280066,42828053
2015-11-18,115.76,117.49,115.5,117.29,45727223,0,1,115.1401976936,116.8609349259,114.8815897858,116.6620057661,45727223
2015-11-17,114.92,115.05,113.32,113.69,27196079,0,1,114.3046952224,114.4339991763,112.713261944,113.0812808896,27196079
2015-11-16,111.38,114.24,111,114.175,37370349,0,1,110.7836490939,113.6283360791,110.4056836903,113.5636841021,37370349
2015-11-13,115.2,115.57,112.27,112.34,44931935,0,1,114.5831960461,114.9512149918,111.668883855,111.738509061,44931935
2015-11-12,116.26,116.82,115.65,115.72,31820442,0,1,115.6375205931,116.1945222405,115.0307866557,115.1004118616,31820442
2015-11-11,116.37,117.42,115.21,116.12,44866694,0,1,115.746931631,116.7913097199,114.5931425041,115.4982701812,44866694
2015-11-10,116.9,118.07,116.061,116.73,58457469,0,1,116.2740939045,117.4378294893,115.4395860791,116.1050041186,58457469
2015-11-09,120.96,121.81,120.05,120.57,33379072,0,1,120.3123558484,121.1578047776,119.4072281713,119.9244439868,33379072
2015-11-06,121.11,121.81,120.62,121.06,32697456,0,1,120.4615527183,121.1578047776,119.9741762768,120.4118204283,32697456
2015-11-05,121.85,122.69,120.18,120.92,38418373,0.52,1,121.1975906096,122.0330930807,119.5365321252,120.2725700165,38418373
2015-11-04,123.13,123.82,121.62,122,44156213,0,1,121.9463236671,122.6296905422,120.4508396361,120.8271866108,44156213
2015-11-03,120.79,123.49,120.7,122.57,44813352,0,1,119.6288186124,122.3028629063,119.5396838026,121.3917070728,44813352
2015-11-02,119.87,121.36,119.61,121.18,31688638,0,1,118.7176627789,120.1933390744,118.4601622173,120.0150694549,31688638
2015-10-30,120.99,121.22,119.45,119.5,48364078,0,1,119.8268959675,120.0546849259,118.3017003332,118.351219672,48364078
2015-10-29,118.7,120.69,118.27,120.53,50049564,0,1,117.5589102516,119.5297799349,117.1330439382,119.3713180508,50049564
2015-10-28,116.93,119.3,116.06,119.28,84697735,0,1,115.805925659,118.1531423169,114.9442891643,118.1333345814,84697735
2015-10-27,115.4,116.54,113.99,114.55,56542594,0,1,114.2906338925,115.4196748165,112.894188539,113.4488051333,56542594
2015-10-26,118.08,118.13,114.92,115.21,65874051,0,1,116.9448704508,116.9943897896,113.8152482402,114.1024604051,65874051
2015-10-23,116.7,119.228,116.33,119.08,58451404,0,1,115.5781367006,118.0818344691,115.2116935937,117.9352572263,58451404
2015-10-22,114.33,115.5,114.1,115.47,40816364,0,1,113.2309200427,114.38967257,113.0031310843,114.3599609668,40816364
